Name,Review,Date,Star Rating
Stephan [Upgrade to see in full],The chi [Upgrade to see in full],8/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],This wa [Upgrade to see in full],11/14/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],The bru [Upgrade to see in full],7/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Timothy [Upgrade to see in full],Took ab [Upgrade to see in full],10/15/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Renee G [Upgrade to see in full],Subpar  [Upgrade to see in full],8/4/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Lan Chi [Upgrade to see in full],I came  [Upgrade to see in full],2/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sameera [Upgrade to see in full],Everyon [Upgrade to see in full],7/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Alex S.,Friedma [Upgrade to see in full],2/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Catheri [Upgrade to see in full],Their c [Upgrade to see in full],1/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lynsey  [Upgrade to see in full],I came  [Upgrade to see in full],10/26/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nikita  [Upgrade to see in full],Very ni [Upgrade to see in full],3/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carrian [Upgrade to see in full],This is [Upgrade to see in full],10/27/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Elisa B [Upgrade to see in full],Came he [Upgrade to see in full],8/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rosa V.,Best gl [Upgrade to see in full],2/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Maria G [Upgrade to see in full],Finally [Upgrade to see in full],7/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jess L.,Great s [Upgrade to see in full],7/4/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Harriso [Upgrade to see in full],Poor se [Upgrade to see in full],5/7/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Came to [Upgrade to see in full],6/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Susan X [Upgrade to see in full],I would [Upgrade to see in full],12/10/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Vaughn  [Upgrade to see in full],Awesome [Upgrade to see in full],9/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Judy O.,We had  [Upgrade to see in full],9/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Marie B [Upgrade to see in full],The fou [Upgrade to see in full],7/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kyla W.,The glu [Upgrade to see in full],1/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joe H.,It was  [Upgrade to see in full],3/11/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Imke H.,Blueber [Upgrade to see in full],10/15/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lisa D.,Going b [Upgrade to see in full],6/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jolene  [Upgrade to see in full],I once  [Upgrade to see in full],4/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ali W.,One of  [Upgrade to see in full],6/6/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Ed G.,Lunch t [Upgrade to see in full],11/6/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Carol M [Upgrade to see in full],Great p [Upgrade to see in full],12/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],Good se [Upgrade to see in full],4/7/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
William [Upgrade to see in full],Really  [Upgrade to see in full],5/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kay W.,"Sadly,  [Upgrade to see in full]",4/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Ian W.,Really  [Upgrade to see in full],11/19/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jasmine [Upgrade to see in full],Attende [Upgrade to see in full],6/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mikyung [Upgrade to see in full],Slow se [Upgrade to see in full],11/17/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Gahee L [Upgrade to see in full],Friedma [Upgrade to see in full],2/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kristin [Upgrade to see in full],I have  [Upgrade to see in full],4/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jenn T.,PRO:1)  [Upgrade to see in full],3/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jenny T [Upgrade to see in full],first t [Upgrade to see in full],7/29/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Gaby B.,Solid s [Upgrade to see in full],12/17/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Elizabe [Upgrade to see in full],Blandes [Upgrade to see in full],10/15/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Mia H.,I love  [Upgrade to see in full],12/3/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Stuti G [Upgrade to see in full],Very go [Upgrade to see in full],3/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Katie S [Upgrade to see in full],Good bu [Upgrade to see in full],1/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
George  [Upgrade to see in full],I wasn' [Upgrade to see in full],4/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ferdina [Upgrade to see in full],A good  [Upgrade to see in full],3/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
CA-Tour [Upgrade to see in full],Food wa [Upgrade to see in full],8/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tamie L [Upgrade to see in full],This pl [Upgrade to see in full],1/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Karen C [Upgrade to see in full],I must  [Upgrade to see in full],10/19/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Roxane  [Upgrade to see in full],We went [Upgrade to see in full],2/5/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Claudia [Upgrade to see in full],this pl [Upgrade to see in full],7/4/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],FOODPor [Upgrade to see in full],11/6/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],I'm gla [Upgrade to see in full],8/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kevin C [Upgrade to see in full],The Fri [Upgrade to see in full],10/11/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cheryl  [Upgrade to see in full],The vib [Upgrade to see in full],8/22/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Karla T [Upgrade to see in full],The Neg [Upgrade to see in full],9/26/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],Awesome [Upgrade to see in full],3/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],Could n [Upgrade to see in full],9/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marie S [Upgrade to see in full],100% on [Upgrade to see in full],11/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Anh N.,I wante [Upgrade to see in full],5/31/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Cherees [Upgrade to see in full],Wanted  [Upgrade to see in full],7/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Gisele  [Upgrade to see in full],Great p [Upgrade to see in full],7/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Leo L.,I like  [Upgrade to see in full],11/27/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Y.E. R.,I had t [Upgrade to see in full],5/10/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Tamas S [Upgrade to see in full],Been to [Upgrade to see in full],7/17/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Heather [Upgrade to see in full],I never [Upgrade to see in full],7/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sam A.,Best la [Upgrade to see in full],6/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carmel  [Upgrade to see in full],From th [Upgrade to see in full],4/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Vasilis [Upgrade to see in full],I came  [Upgrade to see in full],5/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shreyas [Upgrade to see in full],Friedma [Upgrade to see in full],8/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Maria J [Upgrade to see in full],We real [Upgrade to see in full],6/18/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],Amongst [Upgrade to see in full],5/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Yosani  [Upgrade to see in full],Amazing [Upgrade to see in full],4/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ellen Y [Upgrade to see in full],I was t [Upgrade to see in full],7/10/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
