Name,Review,Date,Star Rating
Mel L.,Amy Rut [Upgrade to see in full],10/13/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Troy H.,Waiting [Upgrade to see in full],12/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Moe S.,When we [Upgrade to see in full],10/2/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
M C.,"Hmmm, i [Upgrade to see in full]",7/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Guitell [Upgrade to see in full],I came  [Upgrade to see in full],12/24/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jahee H [Upgrade to see in full],Super f [Upgrade to see in full],11/21/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Candy M [Upgrade to see in full],I have  [Upgrade to see in full],11/22/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Millie  [Upgrade to see in full],"Since,  [Upgrade to see in full]",10/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jess J.,All I c [Upgrade to see in full],10/6/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Pimpan  [Upgrade to see in full],Food wa [Upgrade to see in full],4/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
James Y [Upgrade to see in full],Oh my c [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shirley [Upgrade to see in full],This is [Upgrade to see in full],4/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Emily S [Upgrade to see in full],This is [Upgrade to see in full],8/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cia M.,Went th [Upgrade to see in full],10/7/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Vickie  [Upgrade to see in full],It was  [Upgrade to see in full],8/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Brittan [Upgrade to see in full],One of  [Upgrade to see in full],7/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex W.,I eat a [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Priscil [Upgrade to see in full],Visited [Upgrade to see in full],8/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Iris N.,This is [Upgrade to see in full],11/14/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Abbey B [Upgrade to see in full],I trave [Upgrade to see in full],5/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kayla F [Upgrade to see in full],This wa [Upgrade to see in full],5/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Janeane [Upgrade to see in full],I will  [Upgrade to see in full],11/11/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jerry J [Upgrade to see in full],They ha [Upgrade to see in full],5/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Teresa  [Upgrade to see in full],Best so [Upgrade to see in full],10/10/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Olivia  [Upgrade to see in full],We were [Upgrade to see in full],3/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alexa J [Upgrade to see in full],Amy Rut [Upgrade to see in full],4/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Naomi T [Upgrade to see in full],Let me  [Upgrade to see in full],7/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
May C.,Loved i [Upgrade to see in full],3/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Heather [Upgrade to see in full],So glad [Upgrade to see in full],8/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ja'Nair [Upgrade to see in full],Want th [Upgrade to see in full],2/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Valerie [Upgrade to see in full],Went he [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
BEn M.,Great f [Upgrade to see in full],9/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dingin  [Upgrade to see in full],Ive bee [Upgrade to see in full],11/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Valenci [Upgrade to see in full],Solid s [Upgrade to see in full],8/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
CJ O.,You kno [Upgrade to see in full],8/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Dee K.,It was  [Upgrade to see in full],2/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ron A.,The onl [Upgrade to see in full],11/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jaytee  [Upgrade to see in full],Boy let [Upgrade to see in full],1/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nique W [Upgrade to see in full],My boyf [Upgrade to see in full],10/21/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jamie P [Upgrade to see in full],The ser [Upgrade to see in full],8/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alexis  [Upgrade to see in full],Love lo [Upgrade to see in full],8/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Adam B.,A solid [Upgrade to see in full],6/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alli R.,Food wa [Upgrade to see in full],3/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Olivia  [Upgrade to see in full],This is [Upgrade to see in full],6/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carol A [Upgrade to see in full],The foo [Upgrade to see in full],10/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Karen M [Upgrade to see in full],The bes [Upgrade to see in full],10/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Belinda [Upgrade to see in full],Made th [Upgrade to see in full],5/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Phuong  [Upgrade to see in full],Great f [Upgrade to see in full],10/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],Overvie [Upgrade to see in full],2/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Joseph  [Upgrade to see in full],Very go [Upgrade to see in full],11/24/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Najee B [Upgrade to see in full],Definit [Upgrade to see in full],2/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dwayne  [Upgrade to see in full],Love it [Upgrade to see in full],6/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Carmen  [Upgrade to see in full],Why did [Upgrade to see in full],5/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Celena  [Upgrade to see in full],The mea [Upgrade to see in full],8/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Antoine [Upgrade to see in full],Very pl [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alana T [Upgrade to see in full],Complet [Upgrade to see in full],7/25/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Chaniqu [Upgrade to see in full],Great c [Upgrade to see in full],6/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],Hands d [Upgrade to see in full],1/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],First S [Upgrade to see in full],6/15/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Julie A [Upgrade to see in full],Off the [Upgrade to see in full],5/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Trey S.,This is [Upgrade to see in full],10/21/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
SL A.,Menu ha [Upgrade to see in full],7/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jerrius [Upgrade to see in full],Overall [Upgrade to see in full],1/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Dawn M.,A frien [Upgrade to see in full],6/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Raviana [Upgrade to see in full],Came he [Upgrade to see in full],1/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
