Name,Review,Date,Star Rating
Kristín [Upgrade to see in full],Had din [Upgrade to see in full],2/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Keith H [Upgrade to see in full],Calamar [Upgrade to see in full],10/7/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
John W.,Lido is [Upgrade to see in full],12/27/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ava D.,I came  [Upgrade to see in full],7/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kevin C [Upgrade to see in full],This is [Upgrade to see in full],5/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Candace [Upgrade to see in full],The bru [Upgrade to see in full],6/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alana P [Upgrade to see in full],Lido is [Upgrade to see in full],1/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Barbara [Upgrade to see in full],I was e [Upgrade to see in full],3/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sarah W [Upgrade to see in full],I've be [Upgrade to see in full],4/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jay N.,Went he [Upgrade to see in full],9/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Amel B.,Very de [Upgrade to see in full],11/8/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],Lido's  [Upgrade to see in full],6/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dave M.,This pl [Upgrade to see in full],10/19/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Max R.,I went  [Upgrade to see in full],10/21/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Melanie [Upgrade to see in full],My favo [Upgrade to see in full],9/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tracy N [Upgrade to see in full],This pl [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lily T.,We have [Upgrade to see in full],11/8/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Justine [Upgrade to see in full],This pl [Upgrade to see in full],9/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jackie  [Upgrade to see in full],Wowza!! [Upgrade to see in full],3/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Gina V.,Great a [Upgrade to see in full],5/16/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Alana T [Upgrade to see in full],I came  [Upgrade to see in full],5/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Carlos  [Upgrade to see in full],Brunch  [Upgrade to see in full],5/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Brunch: [Upgrade to see in full],3/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Crystal [Upgrade to see in full],I have  [Upgrade to see in full],2/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ashly B [Upgrade to see in full],-First  [Upgrade to see in full],1/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Elianny [Upgrade to see in full],I've wa [Upgrade to see in full],1/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Naz K.,This br [Upgrade to see in full],8/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Erin L.,Haven't [Upgrade to see in full],8/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tian W.,Had din [Upgrade to see in full],10/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],Lido is [Upgrade to see in full],8/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ingrid  [Upgrade to see in full],Had a w [Upgrade to see in full],7/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cazzie  [Upgrade to see in full],Excelle [Upgrade to see in full],8/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Luis B.,Really  [Upgrade to see in full],3/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hatice  [Upgrade to see in full],As I re [Upgrade to see in full],8/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Janet J [Upgrade to see in full],Located [Upgrade to see in full],11/9/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dnique  [Upgrade to see in full],My frie [Upgrade to see in full],12/26/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kristin [Upgrade to see in full],We made [Upgrade to see in full],6/20/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Tiffy D [Upgrade to see in full],When pe [Upgrade to see in full],10/14/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mariah  [Upgrade to see in full],Lido is [Upgrade to see in full],9/18/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Gerard  [Upgrade to see in full],Really  [Upgrade to see in full],6/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
J T.,Came he [Upgrade to see in full],6/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ally K.,Arrived [Upgrade to see in full],5/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jeff L.,Busy fo [Upgrade to see in full],5/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
James C [Upgrade to see in full],Great a [Upgrade to see in full],8/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Brienna [Upgrade to see in full],I came  [Upgrade to see in full],5/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
J J.,Overpri [Upgrade to see in full],10/17/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Tee K.,Lido is [Upgrade to see in full],12/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
TJ K.,I waite [Upgrade to see in full],8/5/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Sonia M [Upgrade to see in full],They op [Upgrade to see in full],12/18/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
T B.,No wond [Upgrade to see in full],10/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Gabby R [Upgrade to see in full],I first [Upgrade to see in full],5/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Eddie A [Upgrade to see in full],Great t [Upgrade to see in full],6/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Pamela  [Upgrade to see in full],Neighbo [Upgrade to see in full],10/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tae S.,Lido... [Upgrade to see in full],3/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Joe M.,This wa [Upgrade to see in full],3/18/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Masumi  [Upgrade to see in full],I order [Upgrade to see in full],11/30/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Victori [Upgrade to see in full],Great p [Upgrade to see in full],11/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alana B [Upgrade to see in full],Went fo [Upgrade to see in full],10/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex H.,Came he [Upgrade to see in full],12/14/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Orin C.,Went th [Upgrade to see in full],6/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kady P.,This wa [Upgrade to see in full],4/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alex T.,I've be [Upgrade to see in full],11/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tuso B.,This is [Upgrade to see in full],2/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Long N.,Very ba [Upgrade to see in full],7/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Eloy W.,Where d [Upgrade to see in full],5/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kim X.,My frie [Upgrade to see in full],6/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kay A.,Pretty  [Upgrade to see in full],12/3/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Katheri [Upgrade to see in full],Wow.Let [Upgrade to see in full],5/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tara B.,Went he [Upgrade to see in full],4/3/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Dominek [Upgrade to see in full],It was  [Upgrade to see in full],2/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Paige H [Upgrade to see in full],SO YUM! [Upgrade to see in full],10/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jenny M [Upgrade to see in full],The foo [Upgrade to see in full],10/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ricky R [Upgrade to see in full],Short R [Upgrade to see in full],8/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ashley  [Upgrade to see in full],Pretty  [Upgrade to see in full],1/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Yu Z.,Late Re [Upgrade to see in full],1/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jess F.,Had Bru [Upgrade to see in full],10/17/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Asa L.,GREAT w [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jerry F [Upgrade to see in full],A famil [Upgrade to see in full],4/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
