Name,Review,Date,Star Rating
James X [Upgrade to see in full],Delicio [Upgrade to see in full],4/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jack T.,Pretty  [Upgrade to see in full],10/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kieren  [Upgrade to see in full],No more [Upgrade to see in full],1/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stacey  [Upgrade to see in full],I love  [Upgrade to see in full],1/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
