"","Customer","Amy Ruth_s","Artopolis","BLVD bistro","Babbalucci","Belle Harlem","Broadway Restaurant","Buceo 95","Cantina Taqueria & Tequila Bar","Carmines Italian Restaurant - Upper West Side","Chapati House","Dive 106","Doaba Deli","El Puerto Seafood","Flor de Mayo","Go! Go! Curry!","Grain House","Greek Taverna","Infamous Chicken","Isola on Columbus","Jin Ramen","Junzi Kitchen","KALBI","Kingston","Kitchenette Uptown","La Piccola Cucina","La Savane","Le Monde","Loui Loui","MAMA'S TOO!","Manna Korean Food","Marlow Bistro","Mel_s Burger Bar","Melba's","Milano Market","Namaste India","Nous Espresso Grad School Cafe","Oaxaca Taqueria","Olive Tree Deli","Panchos","Pio Pio 6","Pisticci","Red Hot Hot Pot","SEAK","SGD Dubu So Gong Dong Tofu & BBQ","Safari Restaurant NYC","Saiguitte","Savann Mediterranean Cuisine Restaurant","Shaking Crab","Sliced By Harlem Pizza","Sottocasa Pizzeria - Harlem","Sun-Chan Japanese Restaurant","Sylvia_s Restaurant","Tartina","Tastings Social Presents Mountain Bird","The Heights Bar _ Grill","The Mermaid Inn","Uncle Luoyang","amelie","atlas kitchen","awash ethiopian restaurant","bar314","bettolona","casa mexicana","community food _ juice","dig inn","dunhuang","e_s bar","flat top","friedman_s","harlem ale house","hex_company","hula poke","jj_s place","kikoo sushi","koko wings","koronet pizza","la diagonal","lido","lolo_s seafood shack","malaysia grill","massawa","max caffe","max soha","mill korean","mokja","naruto ramen","river house chinese cuisine","seasoned vegan","sweetgreen","thai market","rowSum"
"30","Samanth ",5,2,4,NA,NA,NA,NA,3,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,5,3,NA,NA,1,NA,NA,3,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,4,NA,3,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,4,NA,NA,NA,NA,5,NA,3,5,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,5,1,33
"31","Steven  ",5,NA,5,NA,5,NA,1,5,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,5,NA,NA,5,NA,NA,2,NA,NA,NA,2,NA,4,NA,NA,NA,4,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,4,4,NA,4,NA,1,2,NA,NA,NA,4,32
"32","Anthony ",4,NA,NA,5,NA,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,3,NA,3,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,1,NA,NA,4,NA,5,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,4,2,5,NA,NA,NA,NA,NA,4,NA,5,NA,NA,4,31
"33","Jasmine ",5,NA,1,4,5,4,NA,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,5,NA,1,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,5,5,NA,NA,NA,NA,4,NA,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,31
"34","Hannah  ",5,2,NA,NA,NA,4,NA,NA,3,NA,5,NA,NA,4,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,5,2,NA,NA,4,5,NA,NA,NA,NA,3,4,3,3,NA,5,NA,NA,NA,2,NA,4,NA,NA,3,NA,NA,30
"35","Kimberl ",4,NA,3,4,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,3,NA,NA,NA,5,4,3,NA,NA,4,NA,NA,NA,NA,4,5,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,3,NA,NA,4,4,5,NA,4,3,NA,NA,NA,5,NA,5,30
"36","Susan X ",3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,NA,3,NA,NA,NA,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,3,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,3,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,3,2,NA,3,NA,NA,NA,3,30
"37","Andrea  ",4,NA,NA,NA,NA,NA,5,5,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,4,NA,NA,NA,NA,5,4,NA,NA,NA,NA,5,NA,5,NA,NA,NA,3,NA,5,NA,NA,3,NA,NA,NA,NA,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,5,5,5,NA,4,NA,NA,5,NA,NA,2,NA,5,NA,NA,1,5,29
"38","Joseph  ",3,NA,5,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,5,NA,3,NA,2,5,5,4,4,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,NA,5,5,NA,NA,NA,NA,3,NA,2,NA,NA,4,NA,29
"39","Justin  ",5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,4,NA,1,2,NA,NA,NA,NA,5,NA,NA,4,4,NA,NA,NA,5,NA,NA,2,4,NA,NA,NA,NA,3,NA,NA,NA,5,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,3,29
"40","Matthew ",4,4,5,3,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5,NA,5,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,5,5,NA,NA,5,NA,5,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,29
"41","William ",4,NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,5,1,4,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,4,5,NA,NA,3,5,NA,NA,NA,NA,NA,4,3,NA,5,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,29
"42","Jeremy  ",NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,4,NA,NA,NA,5,NA,5,4,NA,1,2,NA,NA,NA,1,5,2,NA,5,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,1,4,28
"43","Jonatha ",4,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,3,NA,2,4,NA,NA,5,NA,4,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,4,NA,NA,4,5,NA,4,4,NA,NA,NA,NA,NA,NA,5,28
"44","Katheri ",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,4,5,NA,NA,5,5,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,4,NA,5,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,4,NA,5,5,NA,3,NA,NA,1,NA,NA,1,3,28
"45","Shannon ",4,NA,NA,4,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,4,2,NA,NA,NA,NA,3,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,5,4,4,NA,4,5,NA,1,5,3,NA,NA,4,NA,NA,4,NA,28
"46","Thomas  ",3,NA,NA,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA,4,NA,3,NA,4,4,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,4,NA,4,NA,NA,NA,5,1,5,NA,5,NA,NA,NA,NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,27
