"","Customer","Amy Ruth_s","Artopolis","BLVD bistro","Babbalucci","Belle Harlem","Broadway Restaurant","Buceo 95","Cantina Taqueria & Tequila Bar","Carmines Italian Restaurant - Upper West Side","Chapati House","Dive 106","Doaba Deli","El Puerto Seafood","Flor de Mayo","Go! Go! Curry!","Grain House","Greek Taverna","Infamous Chicken","Isola on Columbus","Jin Ramen","Junzi Kitchen","KALBI","Kingston","Kitchenette Uptown","La Piccola Cucina","La Savane","Le Monde","Loui Loui","MAMA'S TOO!","Manna Korean Food","Marlow Bistro","Mel_s Burger Bar","Melba's","Milano Market","Namaste India","Nous Espresso Grad School Cafe","Oaxaca Taqueria","Olive Tree Deli","Panchos","Pio Pio 6","Pisticci","Red Hot Hot Pot","SEAK","SGD Dubu So Gong Dong Tofu & BBQ","Safari Restaurant NYC","Saiguitte","Savann Mediterranean Cuisine Restaurant","Shaking Crab","Sliced By Harlem Pizza","Sottocasa Pizzeria - Harlem","Sun-Chan Japanese Restaurant","Sylvia_s Restaurant","Tartina","Tastings Social Presents Mountain Bird","The Heights Bar _ Grill","The Mermaid Inn","Uncle Luoyang","amelie","atlas kitchen","awash ethiopian restaurant","bar314","bettolona","casa mexicana","community food _ juice","dig inn","dunhuang","e_s bar","flat top","friedman_s","harlem ale house","hex_company","hula poke","jj_s place","kikoo sushi","koko wings","koronet pizza","la diagonal","lido","lolo_s seafood shack","malaysia grill","massawa","max caffe","max soha","mill korean","mokja","naruto ramen","river house chinese cuisine","seasoned vegan","sweetgreen","thai market","rowSum"
"11","Amanda  ",4,4,5,NA,5,5,5,NA,NA,NA,5,4,NA,5,5,NA,NA,NA,NA,4,3,NA,NA,1,NA,NA,3,NA,4,NA,NA,5,5,5,NA,NA,5,NA,4,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,5,NA,4,3,1,4,NA,NA,3,3,NA,NA,NA,NA,2,NA,4,NA,NA,5,4,NA,NA,2,4,4,4,NA,5,NA,5,43
"12","Melissa ",4,4,5,NA,NA,NA,5,3,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,4,NA,NA,NA,NA,NA,2,4,NA,5,NA,4,1,NA,NA,5,4,NA,NA,NA,5,5,5,NA,NA,NA,2,4,NA,NA,4,4,NA,5,NA,5,NA,4,1,4,2,NA,NA,3,NA,NA,NA,1,NA,5,NA,4,5,5,5,NA,NA,4,2,NA,NA,NA,NA,NA,5,4,43
"13","Ashley  ",5,NA,NA,3,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,1,5,NA,4,4,NA,NA,5,NA,5,5,3,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,4,5,NA,5,NA,5,5,5,1,NA,NA,4,2,5,NA,5,4,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5,NA,3,NA,NA,NA,NA,NA,NA,NA,5,3,40
"14","Tiffany ",4,5,5,5,NA,NA,2,4,4,NA,NA,NA,5,NA,NA,NA,4,NA,4,3,NA,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,4,NA,NA,3,2,NA,NA,5,NA,5,4,5,4,NA,NA,NA,NA,NA,NA,5,NA,4,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,4,3,2,3,NA,NA,NA,1,4,NA,NA,NA,3,40
"15","Alexand ",3,5,4,4,NA,3,4,4,4,NA,NA,5,NA,NA,NA,NA,4,NA,5,4,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,3,3,NA,NA,NA,5,NA,NA,4,5,NA,NA,4,NA,5,NA,NA,NA,5,NA,4,5,NA,NA,5,5,NA,5,5,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,5,4,5,NA,NA,NA,NA,3,NA,NA,NA,5,39
"16","Daniell ",5,NA,5,5,NA,NA,4,NA,NA,1,NA,5,NA,4,NA,NA,5,NA,NA,3,NA,NA,NA,2,NA,4,3,NA,NA,NA,5,1,4,NA,5,NA,5,NA,NA,4,NA,NA,NA,NA,5,NA,NA,4,NA,NA,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,4,NA,4,NA,5,4,NA,4,NA,5,NA,5,4,5,5,NA,5,39
"17","George  ",5,4,5,5,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,4,NA,NA,3,NA,3,NA,NA,4,NA,NA,1,NA,3,3,NA,2,5,NA,NA,NA,5,4,NA,NA,NA,NA,NA,5,NA,5,3,NA,NA,NA,NA,5,NA,NA,NA,2,3,NA,NA,4,5,NA,NA,NA,NA,3,NA,2,NA,4,4,NA,3,4,4,3,NA,NA,NA,NA,4,2,39
"18","Catheri ",4,4,NA,NA,NA,NA,4,5,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,4,NA,5,NA,NA,4,NA,3,NA,NA,5,NA,NA,4,3,NA,5,NA,NA,NA,NA,NA,NA,3,NA,5,5,NA,NA,NA,NA,NA,NA,4,NA,5,NA,3,4,NA,NA,3,4,NA,NA,NA,NA,NA,4,NA,5,5,NA,4,NA,NA,5,4,1,4,NA,5,4,NA,37
"19","Elizabe ",4,NA,1,5,5,NA,3,NA,4,NA,NA,NA,5,NA,NA,NA,4,NA,4,4,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,4,5,NA,NA,NA,NA,3,4,NA,NA,NA,NA,5,5,5,NA,5,NA,3,NA,3,NA,NA,NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,5,NA,4,4,NA,1,NA,NA,4,2,37
"20","Kristin ",4,3,4,4,4,NA,4,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,4,NA,5,NA,NA,NA,NA,NA,2,NA,NA,3,5,NA,NA,NA,NA,NA,5,NA,4,5,NA,NA,5,5,NA,NA,NA,NA,4,NA,3,NA,5,4,4,5,NA,3,2,NA,NA,NA,5,NA,5,36
"21","Rebecca ",4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,5,NA,NA,NA,NA,NA,NA,4,NA,4,3,5,5,NA,5,NA,5,4,4,NA,NA,2,4,NA,5,NA,3,NA,1,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3,4,4,1,NA,2,NA,NA,NA,NA,5,4,36
"22","Victori ",3,NA,5,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,5,NA,4,4,NA,NA,4,3,NA,5,NA,4,NA,NA,NA,NA,NA,4,5,5,NA,4,4,NA,5,5,4,NA,NA,NA,4,2,NA,NA,NA,5,NA,NA,NA,NA,3,2,1,NA,4,5,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,36
"23","Angela  ",4,2,2,NA,NA,5,NA,1,NA,3,NA,NA,NA,NA,5,NA,4,NA,1,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,4,NA,NA,3,NA,NA,NA,4,NA,1,NA,NA,NA,3,NA,3,NA,3,NA,3,3,NA,NA,4,4,2,35
"24","Heather ",5,NA,1,NA,NA,3,NA,NA,3,4,5,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,3,5,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,4,NA,NA,NA,4,NA,4,4,NA,NA,4,4,NA,NA,NA,NA,1,1,2,NA,5,2,4,NA,NA,4,3,NA,4,NA,NA,4,5,35
"25","Monica  ",5,NA,NA,5,NA,NA,3,NA,5,5,NA,4,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,5,5,NA,3,NA,NA,NA,5,4,3,NA,NA,4,NA,5,NA,NA,1,5,4,NA,NA,4,NA,4,NA,NA,NA,NA,2,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,4,4,5,NA,NA,NA,3,NA,NA,NA,5,5,NA,NA,35
"26","Natalie ",3,5,NA,1,NA,NA,3,5,NA,NA,NA,NA,NA,2,4,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,5,NA,NA,3,NA,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,NA,4,NA,5,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,5,NA,5,2,NA,4,4,4,NA,NA,3,4,4,NA,3,35
"27","Robert  ",5,1,5,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,1,4,NA,NA,NA,5,4,4,NA,NA,5,NA,4,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,4,NA,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,2,5,NA,NA,4,4,NA,5,NA,NA,NA,5,1,35
"28","Andrew  ",3,NA,NA,1,5,NA,5,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,5,NA,NA,5,NA,NA,NA,5,3,NA,NA,NA,5,NA,2,1,NA,2,5,1,NA,NA,4,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,4,5,NA,5,NA,5,NA,NA,NA,NA,NA,4,4,34
"29","Carolin ",4,4,3,4,NA,NA,2,3,4,NA,NA,5,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,NA,NA,5,NA,5,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,4,5,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,4,5,NA,NA,4,5,NA,NA,5,NA,NA,NA,NA,33
