Accepts Credit Cards,Hygiene_score,Noise Level,Parking,Source,Waiter Service,Wi-Fi,price_range,restaurant_name,restaurant_rating,restaurant_reviewcount
Yes,A,Average,Street,French,NA,No,$11-30,Bouchon Bakery & Cafe,4,1313
Yes,A,Average,Street,French,Yes,Free,$11-30,Maison Kayser,3.5,354
Yes,B,Average,Street,French,Yes,Free,$31-60,Brasserie Ruhlmann,3.5,241
Yes,A,Average,Street,French,Yes,No,$31-60,Le Marais,3,254
Yes,A,Average,Street,French,NA,No,$11-30,Le Monde,3,422
Yes,A,Average,Street,French,Yes,No,$11-30,RDV Rendezvous,4.5,126
Yes,B,Average,Street,French,NA,Free,$11-30,Maison Harlem,3.5,420
Yes,NA,Average,Street,French,Yes,Free,$11-30,Yatenga French Bistro & Bar,4,230
Yes,NA,Average,Street,French,Yes,No,$31-60,Tastings Social Presents Mountain Bird,4.5,137
Yes,NA,Average,Street,French,NA,No,Under $10,La Tropezienne Bakery,4.5,105
Yes,A,Loud,Street,French,NA,No,$31-60,Buceo 95,4,397
Yes,NA,Loud,Street,French,NA,Free,$11-30,Carmine?s Italian Restaurant - Upper West Side,4,1156
Yes,A,Average,Street,French,Yes,No,$11-30,Améìie,4.5,2254
Yes,A,Average,Street,French,NA,Free,$11-30,Cafe D?Alsace,4,1092
Yes,A,Average,Street,French,NA,No,$11-30,Le Moulin a Cafe,4,304
Yes,A,Average,Street,French,Yes,Free,$11-30,Côô Soleil,4.5,180
Yes,A,Quiet,Street,French,NA,NA,$31-60,Quatorze Bis,4,52
Yes,A,Average,Street,French,NA,No,$11-30,Cafe Triskell,4.5,403
Yes,A,Average,Street,French,NA,No,$31-60,Orsay,3.5,239
Yes,A,Average,Street,French,NA,No,$11-30,Table d?Hôôe,4,139
Yes,A,Average,Street,French,Yes,No,$11-30,Le Fond,4.5,128
Yes,A,Quiet,Street,French,Yes,No,Above $61,The Simone,5,82
Yes,A,Average,Street,French,NA,No,$31-60,Cocotte,4,287
Yes,A,Average,Street,French,Yes,Free,$31-60,Boucherie West Village,4.5,802
Yes,A,Average,Street,French,NA,No,$31-60,Little Prince,3.5,288
Yes,NA,Average,Street,French,Yes,No,$31-60,King,4,122
Yes,B,Loud,Street,French,NA,No,$31-60,Felix,3,362
Yes,A,Average,Street,French,Yes,No,$31-60,Le Gigot,4,189
Yes,A,Average,Street,French,Yes,No,$31-60,Minetta Tavern,4,2037
Yes,A,Average,Street,French,Yes,Free,$31-60,San Carlo Osteria Piemonte,4.5,155
Yes,A,Average,Street,French,Yes,Free,$11-30,Joseph Leonard,4,618
Yes,NA,Average,Street,French,NA,No,$31-60,Perry St,4,885
Yes,A,Quiet,Street,French,Yes,Free,$11-30,Delice & Sarrasin,4.5,306
Yes,NA,Average,Street,French,NA,No,$11-30,A.O.C.,3.5,555
Yes,A,Average,Street,Italian,NA,Free,$11-30,Il Posto Accanto,4.5,178
Yes,A,Average,Street,Italian,NA,No,$11-30,Giano Restaurant,4,518
No,A,Average,Street,Italian,NA,No,$11-30,Supper,4,1188
Yes,A,Average,Street,Italian,Yes,Free,$11-30,Fiaschetteria Pistoia,4.5,116
Yes,A,Average,Street,Italian,NA,Free,Under $10,Gaia Italian CafÃ©,4.5,919
Yes,A,Average,Street,Italian,Yes,No,$11-30,Risotteria Melotti NYC,4.5,269
Yes,A,Average,Street,Italian,NA,No,$31-60,Lavagna,4,347
Yes,A,Loud,Street,Italian,Yes,No,$11-30,Gnoccheria by Luzzoâ¿?s,4,226
Yes,A,Average,Street,Italian,NA,No,$11-30,Taverna Di Bacco,4,238
No,A,Average,Street,Italian,Yes,Free,$11-30,Spaghetti Incident,4,477
Yes,A,Loud,Street,Italian,Yes,No,Under $10,San Marzano Pasta Fresca,4,894
Yes,A,Average,Street,Italian,NA,No,$11-30,Gruppo,4,233
Yes,A,Average,Street,Italian,Yes,Free,$11-30,Tramonti La Pizza,4.5,86
No,B,Average,Street,Italian,Yes,No,$11-30,Lilâ¿? Frankieâ¿?s,4,947
Yes,A,Average,Street,Italian,Yes,No,$11-30,Rubirosa,4,1745
Yes,A,Average,Street,Mexico,NA,No,$11-30,Casa Enrique,4,991
Yes,A,Average,Street,Mexico,Yes,No,$11-30,Jajaja,4.5,508
No,A,Average,Street,Mexico,NA,No,$11-30,Tacos Cuautla Morelos,3.5,106
Yes,A,Average,Street,Mexico,Yes,Free,$11-30,Toloache Thompson,4,407
Yes,A,Average,Street,Mexico,NA,No,$11-30,El Sombrero,3.5,308
Yes,A,NA,Street,Mexico,Yes,Free,NA,Taco Electrico,3.5,48
Yes,A,Average,Street,Mexico,NA,Free,Under $10,El Diablito Taqueria,4,273
Yes,B,Average,Street,Mexico,NA,Free,$11-30,Paquitoâ¿?s,3.5,236
Yes,A,Loud,Street,Mexico,NA,No,$11-30,Yuca Bar,4,1654
No,B,Quiet,Street,Mexico,No,No,Under $10,Downtown Bakery,4,233
Yes,A,Average,Street,Mexico,Yes,Free,$11-30,La Loteria,4,272
Yes,A,NA,Street,Mexico,Yes,Free,$11-30,La Contenta Oeste,4,109
Yes,A,Average,Street,Mexico,NA,No,Under $10,Taqueria Diana,4,675
Yes,A,Average,Street,Mexico,NA,Free,$31-60,Rosa Mexicano,3.5,1366
Yes,A,Loud,Street,Mexico,Yes,No,$11-30,Tacombi - Bleecker Street,3.5,289
Yes,A,Average,Street,Mexico,Yes,Free,$11-30,Hotel Tortuga,3.5,466
Yes,A,Average,Street,Mexico,Yes,No,$11-30,Vamos Al Tequila,3.5,257
Yes,NA,Average,Street,Mexico,NA,No,Under $10,Zaragoza Mexican Deli & Grocery,4,289
Yes,A,Average,Street,Mexico,NA,Free,$11-30,Dos Caminos,3.5,1078
Yes,A,Average,Street,Mexico,NA,Free,$11-30,Vamos! Tacos & Tequila,3.5,400
Yes,A,Average,Street,Mexico,Yes,Free,$11-30,Villa Cemita,4,265
Yes,A,Average,Street,Mexico,NA,No,$11-30,Gran Electrica,3.5,425
Yes,A,Loud,Street,Mexico,Yes,Free,$11-30,Lenita,3.5,56
Yes,NA,Average,Street,Mexico,Yes,Free,$11-30,Anejo Tribeca,3.5,265
Yes,NA,Average,Street,Mexico,Yes,No,$31-60,Chefs Club,4,374
Yes,A,Average,Street,Mexico,NA,No,$31-60,David Burke Kitchen,3.5,1121
Yes,A,Average,Street,Mexico,No,Free,Under $10,Choza Taqueria,3,43
Yes,NA,Loud,Street,Mexico,NA,No,Under $10,Taco Bar,3.5,67
Yes,A,Average,Street,Mexico,Yes,Free,$31-60,Lure Fishbar - New York,4,1513
No,NA,Average,Street,Mexico,NA,No,Under $10,Kimchi Taco,3,226
Yes,A,Average,Street,Mexico,No,No,Under $10,Factory Tamal,4.5,59
Yes,A,Average,Street,Mexico,Yes,No,$31-60,Dirt Candy,4,539
Yes,NA,Average,Street,Mexico,NA,No,Under $10,Habana To-Go,4,260
Yes,A,Average,Street,Mexico,Yes,No,$31-60,Gato,4,1006
Yes,A,Average,Street,Mexico,NA,Free,$11-30,Cowgirl Seahorse,4,542
Yes,NA,NA,Street,Mexico,No,Free,NA,Mr Taco,4.5,24
Yes,A,Average,Street,Mexico,NA,No,$11-30,Papatzul,3.5,382
Yes,A,Average,Street,Mexico,Yes,No,$31-60,Aquagrill,4,1275
Yes,A,Average,Street,Mexico,NA,No,$31-60,Henryâ¿?s End,4,328
Yes,NA,Average,Street,Mexico,Yes,No,$31-60,The Tuck Room,4,192
Yes,A,Average,Street,Mexico,NA,No,$11-30,Oficina Latina,3,350
Yes,A,Average,Street,Mexico,NA,No,$11-30,Dos Caminos,3.5,978
Yes,B,Average,Street,Mexico,Yes,No,Above $61,ZZâ¿?s Clam Bar,4.5,92
No,NA,Average,Street,Mexico,No,No,Under $10,Tacos Lupita,4.5,41
